image_id,mask_id,label,source
img_0.png,img_0_mask.png,0,kaggle
img_1.png,img_1_mask.png,0,kaggle
img_2.png,img_2_mask.png,0,kaggle
img_3.png,img_3_mask.png,0,kaggle
img_4.png,img_4_mask.png,0,kaggle
img_5.png,img_5_mask.png,0,kaggle
img_6.png,img_6_mask.png,0,kaggle
img_7.png,img_7_mask.png,0,kaggle
img_8.png,img_8_mask.png,0,kaggle
img_9.png,img_9_mask.png,0,kaggle
img_10.png,img_10_mask.png,0,kaggle
img_11.png,img_11_mask.png,0,kaggle
img_12.png,img_12_mask.png,0,kaggle
img_13.png,img_13_mask.png,0,kaggle
img_14.png,img_14_mask.png,0,kaggle
img_15.png,img_15_mask.png,0,kaggle
img_16.png,img_16_mask.png,0,kaggle
img_17.png,img_17_mask.png,0,kaggle
img_18.png,img_18_mask.png,0,kaggle
img_19.png,img_19_mask.png,0,kaggle
img_20.png,img_20_mask.png,0,kaggle
img_21.png,img_21_mask.png,0,kaggle
img_22.png,img_22_mask.png,0,kaggle
img_23.png,img_23_mask.png,0,kaggle
img_24.png,img_24_mask.png,0,kaggle
img_25.png,img_25_mask.png,0,kaggle
img_26.png,img_26_mask.png,0,kaggle
img_27.png,img_27_mask.png,0,kaggle
img_28.png,img_28_mask.png,0,kaggle
img_29.png,img_29_mask.png,0,kaggle
img_30.png,img_30_mask.png,0,kaggle
img_31.png,img_31_mask.png,0,kaggle
img_32.png,img_32_mask.png,0,kaggle
img_33.png,img_33_mask.png,0,kaggle
img_34.png,img_34_mask.png,0,kaggle
img_35.png,img_35_mask.png,0,kaggle
img_36.png,img_36_mask.png,0,kaggle
img_37.png,img_37_mask.png,0,kaggle
img_38.png,img_38_mask.png,0,kaggle
img_39.png,img_39_mask.png,0,kaggle
img_40.png,img_40_mask.png,0,kaggle
img_41.png,img_41_mask.png,0,kaggle
img_42.png,img_42_mask.png,0,kaggle
img_43.png,img_43_mask.png,0,kaggle
img_44.png,img_44_mask.png,0,kaggle
img_45.png,img_45_mask.png,0,kaggle
img_46.png,img_46_mask.png,0,kaggle
img_47.png,img_47_mask.png,0,kaggle
img_48.png,img_48_mask.png,0,kaggle
img_49.png,img_49_mask.png,0,kaggle
img_50.png,img_50_mask.png,0,kaggle
img_51.png,img_51_mask.png,0,kaggle
img_52.png,img_52_mask.png,0,kaggle
img_53.png,img_53_mask.png,0,kaggle
img_54.png,img_54_mask.png,0,kaggle
img_55.png,img_55_mask.png,0,kaggle
img_56.png,img_56_mask.png,0,kaggle
img_57.png,img_57_mask.png,0,kaggle
img_58.png,img_58_mask.png,0,kaggle
img_59.png,img_59_mask.png,0,kaggle
img_60.png,img_60_mask.png,0,kaggle
img_61.png,img_61_mask.png,0,kaggle
img_62.png,img_62_mask.png,0,kaggle
img_63.png,img_63_mask.png,0,kaggle
img_64.png,img_64_mask.png,0,kaggle
img_65.png,img_65_mask.png,0,kaggle
img_66.png,img_66_mask.png,0,kaggle
img_67.png,img_67_mask.png,0,kaggle
img_68.png,img_68_mask.png,0,kaggle
img_69.png,img_69_mask.png,0,kaggle
img_70.png,img_70_mask.png,0,kaggle
img_71.png,img_71_mask.png,0,kaggle
img_72.png,img_72_mask.png,0,kaggle
img_73.png,img_73_mask.png,0,kaggle
img_74.png,img_74_mask.png,0,kaggle
img_75.png,img_75_mask.png,0,kaggle
img_76.png,img_76_mask.png,0,kaggle
img_77.png,img_77_mask.png,0,kaggle
img_78.png,img_78_mask.png,0,kaggle
img_79.png,img_79_mask.png,0,kaggle
img_80.png,img_80_mask.png,0,kaggle
img_81.png,img_81_mask.png,0,kaggle
img_82.png,img_82_mask.png,0,kaggle
img_83.png,img_83_mask.png,0,kaggle
img_84.png,img_84_mask.png,0,kaggle
img_85.png,img_85_mask.png,0,kaggle
img_86.png,img_86_mask.png,0,kaggle
img_87.png,img_87_mask.png,0,kaggle
img_88.png,img_88_mask.png,0,kaggle
img_89.png,img_89_mask.png,0,kaggle
img_90.png,img_90_mask.png,0,kaggle
img_91.png,img_91_mask.png,0,kaggle
img_92.png,img_92_mask.png,0,kaggle
img_93.png,img_93_mask.png,0,kaggle
img_94.png,img_94_mask.png,0,kaggle
img_95.png,img_95_mask.png,0,kaggle
img_96.png,img_96_mask.png,0,kaggle
img_97.png,img_97_mask.png,0,kaggle
img_98.png,img_98_mask.png,0,kaggle
img_99.png,img_99_mask.png,0,kaggle
img_100.png,img_100_mask.png,1,kaggle
img_101.png,img_101_mask.png,1,kaggle
img_102.png,img_102_mask.png,1,kaggle
img_103.png,img_103_mask.png,1,kaggle
img_104.png,img_104_mask.png,1,kaggle
img_105.png,img_105_mask.png,1,kaggle
img_106.png,img_106_mask.png,1,kaggle
